
NOTICE: Existing SQLite export found: carryover.sqlite
        It is assumed file was previously exported from: carryover.nsys-rep
        Consider using --force-export=true if needed.

Processing [carryover.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)   Max (ns)   StdDev (ns)               Name            
 --------  ---------------  ---------  -----------  ---------  --------  ----------  ------------  ----------------------------
     41.6       92,694,607     24,136      3,840.5    3,566.0     2,744     225,691       2,136.3  cuLaunchKernel              
     30.2       67,389,306         14  4,813,521.9   12,859.0     2,714  66,633,484  17,793,239.9  cudaMalloc                  
      6.7       14,866,413      2,104      7,065.8    6,274.5     2,904      24,787       2,876.1  cudaMemcpyAsync             
      6.6       14,814,771          8  1,851,846.4    8,983.5     4,056  13,782,795   4,832,981.6  cudaHostAlloc               
      6.4       14,352,916        717     20,018.0   19,669.0    15,854      86,070       3,534.1  cudaMemGetInfo              
      1.9        4,336,637      2,795      1,551.6    1,332.0       310      13,811       1,043.6  cudaEventQuery              
      1.3        2,877,768      1,398      2,058.5    1,993.0     1,312      79,159       2,097.5  cudaEventRecord             
      1.0        2,221,198        702      3,164.1    3,325.0     2,013      30,386       1,576.7  cudaMemsetAsync             
      1.0        2,137,202         10    213,720.2  190,076.5   177,718     338,130      50,616.3  cuModuleLoadData            
      0.8        1,769,625      1,398      1,265.8    1,091.0       440     323,769       8,638.0  cudaEventCreateWithFlags    
      0.6        1,392,761        706      1,972.7    1,968.0     1,151      13,881         782.1  cudaStreamSynchronize       
      0.5        1,193,543      1,397        854.4      861.0       420      11,557         368.6  cudaEventDestroy            
      0.5        1,088,883      2,104        517.5      511.0       250       6,780         253.6  cudaStreamIsCapturing_v10000
      0.4          880,537         11     80,048.8    3,486.0     1,602     651,593     198,029.1  cudaFree                    
      0.4          804,935          6    134,155.8  132,876.0    92,059     186,011      33,344.1  cuModuleUnload              
      0.0            1,222          1      1,222.0    1,222.0     1,222       1,222           0.0  cuModuleGetLoadingMode      

