Generating SQLite file carryover.sqlite from carryover.nsys-rep
Processing [carryover.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

   PID      TID    DevId  Count   QCount  TAvg (ns)  TMed (ns)  TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)  AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)  QMed (ns)  QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)     API Name                                               Kernel Name                                           
 -------  -------  -----  ------  ------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  --------------  ------------------------------------------------------------------------------------------------
 203,943  203,943      0       1       1  944,283.0  944,283.0    944,283    944,283           0.0   11,608.0   11,608.0     11,608     11,608           0.0   16,573.0   16,573.0     16,573     16,573           0.0  916,102.0  916,102.0    916,102    916,102           0.0  cuLaunchKernel  void _tensordot_core_int_kernel<unsigned long long>(int, int, int, const T1 *, const T1 *, T1 *)
 203,943  203,943      0       1       1  341,824.0  341,824.0    341,824    341,824           0.0    9,996.0    9,996.0      9,996      9,996           0.0      530.0      530.0        530        530           0.0  331,298.0  331,298.0    331,298    331,298           0.0  cuLaunchKernel  cupy_copy__uint8_uint64                                                                         
 203,943  203,943      0       1       1  271,819.0  271,819.0    271,819    271,819           0.0    6,981.0    6,981.0      6,981      6,981           0.0  262,246.0  262,246.0    262,246    262,246           0.0    2,592.0    2,592.0      2,592      2,592           0.0  cuLaunchKernel  cupy_arange__uint_uint_uint64                                                                   
 203,943  203,943      0       1       1  233,534.0  233,534.0    233,534    233,534           0.0    5,929.0    5,929.0      5,929      5,929           0.0  226,261.0  226,261.0    226,261    226,261           0.0    1,344.0    1,344.0      1,344      1,344           0.0  cuLaunchKernel  cupy_left_shift__uint_uint64_uint64                                                             
 203,943  203,943      0      10      10  144,986.1    6,765.0      5,889    717,854     291,729.3    4,645.9    3,845.5      3,095      9,895       1,991.7  139,137.0    1,698.5      1,315    706,487     290,084.6    1,203.2    1,184.0      1,056      1,472         120.9  cuLaunchKernel  cupy_copy__uint64_uint64                                                                        
 203,943  203,943      0       2       1  119,854.0  119,854.0    105,848    133,860      19,807.5    9,479.0    9,479.0      5,047     13,911       6,267.8   99,585.0   99,585.0     99,585     99,585           0.0   60,864.5   60,864.5      1,216    120,513      84,355.7  cuLaunchKernel  cupy_copy__uint8_uint8                                                                          
 203,943  204,011      0       1       0   56,225.0   56,225.0     56,225     56,225           0.0   20,851.0   20,851.0     20,851     20,851           0.0       None       None       None       None           0.0   35,808.0   35,808.0     35,808     35,808           0.0  cuLaunchKernel  void _tensordot_core_int_kernel<unsigned long long>(int, int, int, const T1 *, const T1 *, T1 *)
 203,943  204,011      0       2       1   17,551.5   17,551.5      8,889     26,214      12,250.6   15,468.5   15,468.5      5,989     24,948      13,406.0    1,396.0    1,396.0      1,396      1,396           0.0    1,536.5    1,536.5      1,504      1,569          46.0  cuLaunchKernel  cupy_copy__uint8_uint8                                                                          
 203,943  203,943      0     350     349   15,092.8   14,126.5     13,079     59,379       3,408.6    7,961.7    7,882.0      5,228     50,977       2,393.5      868.4      882.0        327      1,209         151.3    6,279.8    5,184.0      4,768     22,977       2,775.3  cuLaunchKernel  bitset_support_kernel_multi                                                                     
 203,943  204,011      0       1       1   11,188.0   11,188.0     11,188     11,188           0.0    9,675.0    9,675.0      9,675      9,675           0.0      426.0      426.0        426        426           0.0    1,087.0    1,087.0      1,087      1,087           0.0  cuLaunchKernel  cupy_copy__uint8_uint64                                                                         
 203,943  204,011      0       1       1   10,676.0   10,676.0     10,676     10,676           0.0    9,174.0    9,174.0      9,174      9,174           0.0      446.0      446.0        446        446           0.0    1,056.0    1,056.0      1,056      1,056           0.0  cuLaunchKernel  cupy_left_shift__uint_uint64_uint64                                                             
 203,943  204,011      0       1       1   10,387.0   10,387.0     10,387     10,387           0.0    8,462.0    8,462.0      8,462      8,462           0.0      965.0      965.0        965        965           0.0      960.0      960.0        960        960           0.0  cuLaunchKernel  cupy_arange__uint_uint_uint64                                                                   
 203,943  204,011      0       6       6   10,277.2   10,290.5      9,485     11,171         644.2    7,823.7    7,712.0      6,891      8,784         810.3    1,152.3    1,262.0        650      1,414         288.6    1,301.2    1,264.0      1,248      1,407          71.7  cuLaunchKernel  cupy_bitwise_and__uint64_uint64_uint64                                                          
 203,943  203,943      0     696     696   10,226.7   10,175.5      8,988     14,891         518.6    7,002.9    6,950.0      5,918     11,648         580.4    1,088.1    1,105.5        258      1,516         166.8    2,135.7    2,144.0      1,728      2,209          35.3  cuLaunchKernel  cupy_concatenate_same_size                                                                      
 203,943  204,011      0       2       2    9,609.0    9,609.0      8,192     11,026       2,003.9    7,451.5    7,451.5      5,679      9,224       2,506.7    1,070.0    1,070.0        715      1,425         502.0    1,087.5    1,087.5      1,087      1,088           0.7  cuLaunchKernel  cupy_copy__uint64_uint64                                                                        
 203,943  203,943      0  23,060  23,046    6,380.4    6,261.0      5,252    226,073       1,961.3    3,677.1    3,546.0      2,744    225,691       2,010.2    1,523.8    1,534.0         94      1,961         142.2    1,181.1    1,120.0      1,087      1,600          94.6  cuLaunchKernel  cupy_bitwise_and__uint64_uint64_uint64                                                          

