
NOTICE: Existing SQLite export found: prefix_only.sqlite
        It is assumed file was previously exported from: prefix_only.nsys-rep
        Consider using --force-export=true if needed.

Processing [prefix_only.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)   Max (ns)   StdDev (ns)               Name            
 --------  ---------------  ---------  -----------  ---------  --------  ----------  ------------  ----------------------------
     77.2      429,712,504    119,516      3,595.4    3,526.0     2,784     369,488       1,436.9  cuLaunchKernel              
     11.2       62,218,532          7  8,888,361.7  128,133.0     3,806  60,961,277  22,963,525.3  cudaMalloc                  
      2.7       15,166,664      2,097      7,232.6    6,449.0     3,024      25,399       2,945.7  cudaMemcpyAsync             
      2.7       15,055,376        715     21,056.5   20,681.0    17,707      56,826       3,319.8  cudaMemGetInfo              
      2.7       14,793,252          7  2,113,321.7    7,661.0     4,247  13,724,560   5,134,444.9  cudaHostAlloc               
      0.8        4,471,039      2,793      1,600.8    1,332.0       370       9,584       1,116.8  cudaEventQuery              
      0.5        2,872,171      1,397      2,056.0    2,003.0     1,372       7,632         402.7  cudaEventRecord             
      0.4        2,372,968        701      3,385.1    3,536.0     2,003      27,291       1,678.2  cudaMemsetAsync             
      0.3        1,930,704          9    214,522.7  179,351.0   146,241     345,341      69,150.1  cuModuleLoadData            
      0.3        1,567,754      1,397      1,122.2    1,122.0       501      14,381         530.2  cudaEventCreateWithFlags    
      0.3        1,561,084          6    260,180.7  179,115.0     4,677     601,758     271,632.5  cudaFree                    
      0.3        1,456,636        700      2,080.9    2,068.5     1,182       3,855         430.9  cudaStreamSynchronize       
      0.2        1,254,043      1,396        898.3      851.0       451       2,113         298.1  cudaEventDestroy            
      0.2        1,135,018      2,097        541.3      520.0       250      15,723         400.5  cudaStreamIsCapturing_v10000
      0.2          957,985          6    159,664.2  163,511.5   122,705     189,486      28,196.9  cuModuleUnload              
      0.0            2,114          1      2,114.0    2,114.0     2,114       2,114           0.0  cuModuleGetLoadingMode      

