Generating SQLite file prefix_only.sqlite from prefix_only.nsys-rep
Processing [prefix_only.sqlite] with [/opt/nvidia/nsight-systems/2023.2.3/host-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

   PID      TID    DevId   Count   QCount   TAvg (ns)  TMed (ns)  TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)  AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)  QMed (ns)  QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)     API Name                                               Kernel Name                                           
 -------  -------  -----  -------  -------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  --------------  ------------------------------------------------------------------------------------------------
 204,617  204,617      0        1        0  938,895.0  938,895.0    938,895    938,895           0.0   22,324.0   22,324.0     22,324     22,324           0.0       None       None       None       None           0.0  917,029.0  917,029.0    917,029    917,029           0.0  cuLaunchKernel  void _tensordot_core_int_kernel<unsigned long long>(int, int, int, const T1 *, const T1 *, T1 *)
 204,617  204,617      0        1        1  337,276.0  337,276.0    337,276    337,276           0.0    9,064.0    9,064.0      9,064      9,064           0.0      594.0      594.0        594        594           0.0  327,618.0  327,618.0    327,618    327,618           0.0  cuLaunchKernel  cupy_copy__uint8_uint64                                                                         
 204,617  204,617      0        2        1  103,921.5  103,921.5     65,978    141,865      53,660.2   13,816.0   13,816.0      5,488     22,144      11,777.6   59,339.0   59,339.0     59,339     59,339           0.0   60,752.0   60,752.0      1,151    120,353      84,288.5  cuLaunchKernel  cupy_copy__uint8_uint8                                                                          
 204,617  204,617      0      350      345   15,117.7   14,205.5     13,160     31,545       2,598.0    8,133.9    8,082.0      5,348     25,458       1,200.6      726.3      769.0          1      1,126         188.3    6,270.7    5,183.5      4,864     22,752       2,747.9  cuLaunchKernel  bitset_support_kernel_multi                                                                     
 204,617  204,617      0      696      695   10,385.7   10,317.0      9,208     20,488         661.4    7,180.0    7,121.0      5,969     17,276         763.5    1,070.5    1,098.0        335      1,459         194.4    2,136.9    2,144.0      1,632      2,177          35.0  cuLaunchKernel  cupy_concatenate_same_size                                                                      
 204,617  204,617      0        1        1   10,127.0   10,127.0     10,127     10,127           0.0    8,132.0    8,132.0      8,132      8,132           0.0      523.0      523.0        523        523           0.0    1,472.0    1,472.0      1,472      1,472           0.0  cuLaunchKernel  cupy_arange__uint_uint_uint64                                                                   
 204,617  204,617      0        1        1   10,001.0   10,001.0     10,001     10,001           0.0    7,791.0    7,791.0      7,791      7,791           0.0      802.0      802.0        802        802           0.0    1,408.0    1,408.0      1,408      1,408           0.0  cuLaunchKernel  cupy_left_shift__uint_uint64_uint64                                                             
 204,617  204,617      0       10       10    7,206.6    6,457.5      5,518     11,829       1,894.0    4,482.7    3,670.5      2,794      9,585       2,049.9    1,539.9    1,607.0        932      1,776         240.1    1,184.0    1,184.0      1,056      1,312          81.2  cuLaunchKernel  cupy_copy__uint64_uint64                                                                        
 204,617  204,617      0  118,454  118,388    6,244.7    6,219.0      5,261    370,303       1,366.6    3,560.4    3,525.0      2,784    369,488       1,389.6    1,565.7    1,580.0         45      2,899         116.7    1,120.1    1,120.0      1,087      1,280          10.9  cuLaunchKernel  cupy_bitwise_and__uint64_uint64_uint64                                                          

